Location;Price;Bedrooms;Bathrooms;Size;Avg_Price_m3;Balcony_size
Templeton;799000;4;4;310;2577,42;28
San Miguel;595000;3;2;211,7;2810,58;19
San Miguel;89000;3;2;156;570,51;13
San Miguel;129900;3;1;104,2;1246,64;10
Los Alamos;375000;3;3;151,9;2468,73;15
Arroyo Grande;599000;3;2;277,4;2159,34;23
San Miguel;235000;3;2;134;1753,73;13
San Miguel;255900;3;2;144;1777,08;12
San Miguel;148900;5;2;106,4;1399,44;8
Arroyo Grande;749000;3;2;214,5;3491,84;17
San Miguel;189900;3;2;147,2;1290,08;12
San Miguel;183000;3;1;88,8;2060,81;7
San Miguel;232600;3;3;158,2;1470,29;14
Cambria;520000;3;2;168;3095,24;16
Templeton;355000;3;3;170,2;2085,78;14
San Miguel;275000;0;1;39,8;6909,55;3
San Miguel;225000;4;3;194;1159,79;17
San Miguel;161900;3;2;120;1349,17;10
San Miguel;249999;3;3;201,3;1241,92;16
San Miguel;208000;2;1;126,7;1641,67;12
King City;135000;3;1;110;1227,27;11
San Miguel;385000;2;3;138,9;2771,78;11
Arroyo Grande;750000;4;4;338,7;2214,35;28
Arroyo Grande;810000;4;3;330,5;2450,83;30
Arroyo Grande;890000;4;5;422,9;2104,52;42
Arroyo Grande;895000;4;3;367,6;2434,71;33
San Miguel;229900;3;2;145,8;1576,82;12
King City;240000;2;2;102;2352,94;10
Arroyo Grande;429000;4;3;251,3;1707,12;22
San Miguel;399000;4;3;280;1425;25
San Miguel;385000;3;2;200;1925;16
San Miguel;294900;3;2;131,6;2240,88;10
San Miguel;399000;3;2;122;3270,49;11
San Miguel;269000;3;3;178;1511,24;16
Cambria;449000;3;3;212;2117,92;17
Arroyo Grande;555900;5;3;294,7;1886,33;26
San Miguel;319900;4;2;213,5;1498,36;21
Cambria;332000;4;4;187,2;1773,5;18
Cambria;499000;4;5;340;1467,65;30
San Miguel;432000;4;3;311,3;1387,73;31
Arroyo Grande;199000;2;1;82,7;2406,29;6
San Miguel;29000;2;2;150;193,33;12
Arroyo Grande;299000;3;2;127;2354,33;12
San Miguel;259000;4;3;185,7;1394,72;16
Los Alamos;99000;1;1;53,8;1840,15;5
Arroyo Grande;779000;2;2;122,3;6369,58;10
Arroyo Grande;839000;2;2;122,3;6860,18;11
San Miguel;525000;3;2;174,6;3006,87;15
San Miguel;795000;3;2;209,2;3800,19;17
San Miguel;337000;4;2;200;1685;18
Los Alamos;164900;2;1;75;2198,67;6
San Miguel;449000;2;3;165;2721,21;15
King City;94000;2;2;79,7;1179,42;7
San Miguel;899000;3;3;226,6;3967,34;18
San Miguel;180000;3;2;128;1406,25;11
Cambria;194900;3;2;109,2;1784,8;9
Los Alamos;350000;3;2;150,9;2319,42;13
King City;167770;3;3;179,3;935,69;14
King City;309900;3;2;170,5;1817,6;14
Templeton;479000;2;3;210;2280,95;19
Los Alamos;350000;3;2;158,2;2212,39;15
King City;350000;3;2;147;2380,95;14
San Miguel;275000;3;2;142,4;1931,18;14
San Miguel;379000;4;3;227,7;1664,47;22
King City;155900;4;2;336,8;462,89;33
San Miguel;229000;3;2;145,8;1570,64;12
San Miguel;604995;2;3;174,9;3459,09;17
San Miguel;599000;3;3;199,6;3001;19
Los Alamos;359000;3;2;100,8;3561,51;8
Los Alamos;199000;4;2;152,7;1303,21;12
San Miguel;164900;3;2;144;1145,14;12
King City;179000;3;2;181,5;986,23;18
San Miguel;370000;4;2;206,4;1792,64;17
San Miguel;999000;5;4;240,2;4159,03;20
San Miguel;365000;3;3;213,6;1708,8;17
San Miguel;345000;3;2;149,8;2303,07;13
San Miguel;299000;2;1;106,8;2799,63;9
San Miguel;519500;2;1;63,4;8194,01;6
Cambria;645000;4;4;300;2150;27
San Miguel;242500;3;2;121,8;1990,97;12
San Miguel;259900;3;3;130;1999,23;11
San Miguel;310000;4;3;201,4;1539,23;20
Arroyo Grande;450000;2;2;146,3;3075,87;12
San Miguel;220000;2;2;154,1;1427,64;15
San Miguel;585000;3;2;126,8;4613,56;12
San Miguel;324000;5;4;240;1350;24
Cambria;375000;1;1;55,1;6805,81;5
San Miguel;329000;3;2;142;2316,9;11
San Miguel;599900;5;3;276,4;2170,41;27
San Miguel;74900;2;2;101,4;738,66;8
Los Alamos;285000;3;2;112;2544,64;9
San Miguel;751900;3;3;340;2211,47;28
San Miguel;295000;3;2;138,6;2128,43;12
King City;170000;3;2;132;1287,88;12
San Miguel;197000;3;2;137,6;1431,69;12
Los Alamos;1250000;3;3;258,6;4833,72;23
San Miguel;249000;3;2;166,2;1498,19;15
Los Alamos;179000;2;2;103,3;1732,82;9
San Miguel;132000;3;1;105;1257,14;8
Los Alamos;425000;3;2;150;2833,33;12
San Miguel;290000;5;3;250;1160;20
Los Alamos;150000;2;2;89,6;1674,11;8
Los Alamos;150000;2;2;89,6;1674,11;7
Los Alamos;150000;2;2;89,6;1674,11;8
Los Alamos;150000;2;2;89,6;1674,11;8
Los Alamos;150000;2;2;89,6;1674,11;8
Los Alamos;205000;2;2;138,8;1476,95;13
Arroyo Grande;599000;4;3;312;1919,87;26
San Miguel;269000;3;3;135,2;1989,64;13
San Miguel;249000;4;3;196,3;1268,47;16
San Miguel;235000;3;3;154,1;1524,98;14
King City;469000;4;3;244,9;1915,07;20
Los Alamos;159000;4;2;166;957,83;13
King City;69900;3;1;93,6;746,79;7
Arroyo Grande;1499000;5;7;680;2204,41;61
Arroyo Grande;239000;3;2;102,2;2338,55;10
Arroyo Grande;399500;3;2;166,5;2399,4;16
San Miguel;299900;3;2;120,9;2480,56;12
Los Alamos;275000;3;2;170;1617,65;17
Los Alamos;395000;4;2;173,6;2275,35;17
San Miguel;105000;1;1;73,1;1436,39;7
San Miguel;179999;3;2;108,6;1657,45;9
San Miguel;219000;3;2;113,1;1936,34;10
Templeton;325000;3;3;150;2166,67;15
Arroyo Grande;829900;4;3;382,7;2168,54;38
San Miguel;165000;2;1;110;1500;10
San Miguel;179000;3;2;139,8;1280,4;11
San Miguel;279000;3;2;138,1;2020,28;13
Arroyo Grande;820000;4;4;338,7;2421,02;30
San Miguel;399000;2;1;125;3192;11
San Miguel;164900;3;1;96,5;1708,81;8
San Miguel;235000;4;2;186;1263,44;15
Arroyo Grande;1900000;4;5;541,1;3511,37;49
Los Alamos;289000;3;2;136,7;2114,12;11
San Miguel;355000;3;2;164;2164,63;16
San Miguel;199000;3;2;126,9;1568,16;10
San Miguel;209000;3;2;127,5;1639,22;10
Los Alamos;186900;3;1;91,2;2049,34;7
San Miguel;240000;4;2;146;1643,84;12
Los Alamos;515000;2;2;200;2575;16
San Miguel;215000;4;2;175;1228,57;17
San Miguel;399900;4;4;305;1311,15;25
San Miguel;369000;4;3;237,1;1556,31;19
San Miguel;250000;2;2;129,2;1934,98;12
San Miguel;259000;3;2;164;1579,27;13
San Miguel;180000;2;2;108,2;1663,59;9
Templeton;399900;3;2;152,2;2627,46;12
Arroyo Grande;385000;3;2;153,5;2508,14;15
San Miguel;154000;2;2;110;1400;11
San Miguel;254900;2;2;96,6;2638,72;8
San Miguel;315000;4;2;165,3;1905,63;15
San Miguel;437500;3;3;252,3;1734,05;21
San Miguel;299900;3;3;251,1;1194,34;22
Arroyo Grande;399000;3;3;177,2;2251,69;17
San Miguel;330000;3;3;188,9;1746,96;18
Arroyo Grande;279000;2;2;88;3170,45;8
San Miguel;248000;3;2;140;1771,43;12
San Miguel;209000;3;3;149,4;1398,93;14
Los Alamos;729000;3;2;184,4;3953,36;15
Arroyo Grande;454500;4;3;190;2392,11;19
San Miguel;249000;3;2;117,6;2117,35;9
Los Alamos;1700000;3;5;446,3;3809,1;44
King City;349000;3;2;163,5;2134,56;13
King City;575000;3;3;209,5;2744,63;17
San Miguel;185000;3;2;130;1423,08;11
San Miguel;165000;3;2;120;1375;10
Los Alamos;311900;0;1;91;3427,47;9
San Miguel;175000;3;2;160;1093,75;14
Los Alamos;180000;4;2;133,2;1351,35;13
San Miguel;78000;2;2;168;464,29;15
Los Alamos;142900;2;1;131,3;1088,35;13
Arroyo Grande;850000;4;4;374,4;2270,3;31
San Miguel;389000;3;2;199,8;1946,95;19
San Miguel;641900;3;3;271,4;2365,14;24
Templeton;305000;4;2;179,7;1697,27;17
San Miguel;260000;3;3;168,7;1541,2;15
San Miguel;320000;3;2;166,3;1924,23;15
Arroyo Grande;199000;2;1;79,2;2512,63;7
San Miguel;299000;2;2;141;2120,57;14
Cambria;289000;2;2;108,5;2663,59;10
San Miguel;229900;3;3;190;1210;19
Arroyo Grande;865000;4;3;330,5;2617,25;33
Arroyo Grande;900000;4;4;396,2;2271,58;33
Arroyo Grande;199000;2;3;126;1579,37;12
San Miguel;160000;2;3;120;1333,33;12
San Miguel;299000;3;3;240;1245,83;20
Los Alamos;300000;3;3;126,5;2371,54;11
San Miguel;270000;4;2;146;1849,32;12
Los Alamos;490000;3;3;189,4;2587,12;18
San Miguel;295000;3;3;180;1638,89;15
San Miguel;225000;3;2;155;1451,61;15
Arroyo Grande;324900;2;2;142,6;2278,4;11
San Miguel;165000;3;2;111;1486,49;11
San Miguel;157900;3;2;107,5;1468,84;9
Los Alamos;299000;3;2;175,6;1702,73;17
San Miguel;369000;3;3;215;1716,28;21
San Miguel;233000;4;2;165;1412,12;13
San Miguel;109900;2;2;120;915,83;10
San Miguel;309000;3;2;148,8;2076,61;13
San Miguel;1799000;4;4;360,9;4984,76;32
San Miguel;209900;2;2;111,3;1885,89;10
Templeton;499000;3;2;160;3118,75;16
Arroyo Grande;525000;4;2;196,1;2677,21;17
Los Alamos;650000;3;3;324,9;2000,62;32
Los Alamos;529000;3;3;151;3503,31;15
San Miguel;179000;3;2;130;1376,92;13
Los Alamos;282000;3;3;173,6;1624,42;17
Templeton;899000;4;3;300,8;2988,7;30
San Miguel;130000;3;2;185;702,7;18
San Miguel;205000;3;2;114,6;1788,83;10
San Miguel;180900;2;2;110;1644,55;9
Arroyo Grande;409900;4;4;213,5;1919,91;17
Arroyo Grande;409900;4;4;213,5;1919,91;21
King City;469000;3;2;182,7;2567,05;18
Arroyo Grande;289000;3;1;100,5;2875,62;9
San Miguel;99999;2;3;180;555,55;18
San Miguel;445000;5;3;330,7;1345,63;27
Arroyo Grande;640000;3;3;216;2962,96;19
San Miguel;185000;3;2;106,2;1742;9
San Miguel;210000;4;2;110,2;1905,63;9
San Miguel;199900;3;2;121,5;1645,27;10
San Miguel;225000;3;2;160;1406,25;16
San Miguel;369900;4;2;216,1;1711,71;19
San Miguel;120000;3;2;168,6;711,74;15
San Miguel;199000;2;1;100;1990;10
Arroyo Grande;520000;3;3;260;2000;23
San Miguel;579000;5;3;315;1838,1;28
San Miguel;300000;4;2;125,7;2386,63;11
Arroyo Grande;325000;3;2;117,1;2775,41;9
San Miguel;225000;3;2;114,4;1966,78;9
Arroyo Grande;395000;2;1;116;3405,17;9
San Miguel;399000;4;3;230;1734,78;20
Los Alamos;165000;3;2;114,4;1442,31;9
Arroyo Grande;374900;3;2;136,8;2740,5;12
San Miguel;199900;3;2;123,8;1614,7;10
Arroyo Grande;365000;3;1;105,6;3456,44;10
San Miguel;222900;2;2;108,6;2052,49;9
Los Alamos;249900;2;1;72;3470,83;6
San Miguel;290000;3;2;142,6;2033,66;12
San Miguel;170500;4;2;136,1;1252,76;13
Arroyo Grande;560000;3;3;234,4;2389,08;19
Los Alamos;339900;4;2;192,5;1765,71;19
Los Alamos;550000;4;3;260;2115,38;26
San Miguel;269900;4;2;160,1;1685,82;14
San Miguel;350000;3;2;139,5;2508,96;11
Los Alamos;214000;2;2;104,2;2053,74;10
San Miguel;299900;3;2;120;2499,17;10
Los Alamos;139500;2;2;124,8;1117,79;12
Los Alamos;360000;4;3;300;1200;30
San Miguel;315000;3;2;130;2423,08;11
San Miguel;279900;3;2;124,4;2250;11
San Miguel;399000;4;2;213,9;1865,36;21
Arroyo Grande;475000;4;3;245;1938,78;24
San Miguel;65900;2;2;84;784,52;7
King City;212000;4;3;187,8;1128,86;17
San Miguel;180000;3;2;135;1333,33;13
San Miguel;210000;4;2;137,7;1525,05;12
Cambria;375000;3;3;147,5;2542,37;13
Arroyo Grande;106900;2;2;89,4;1195,75;7
San Miguel;221830;3;2;155;1431,16;12
Los Alamos;239000;3;2;110,6;2160,94;10
Arroyo Grande;187500;1;1;59,4;3156,57;4
Los Alamos;445000;5;3;320;1390,63;26
San Miguel;309000;3;2;190,6;1621,2;17
San Miguel;315000;3;2;200,4;1571,86;20
San Miguel;191100;3;1;120;1592,5;12
Cambria;699900;5;3;181,8;3849,83;18
Los Alamos;189500;2;2;104;1822,12;10
San Miguel;199000;4;2;140;1421,43;11
San Miguel;359000;4;3;220,9;1625,17;22
Arroyo Grande;264450;3;1;103;2567,48;10
Templeton;459000;3;2;199,9;2296,15;19
San Miguel;150000;3;2;131,6;1139,82;10
San Miguel;875000;3;3;220;3977,27;18
San Miguel;599000;2;2;120;4991,67;10
Arroyo Grande;250000;3;3;126,1;1982,55;11
Los Alamos;165000;3;2;112;1473,21;10
San Miguel;229900;4;3;185,7;1238,02;15
San Miguel;229900;3;2;140;1642,14;12
San Miguel;269900;3;2;113,9;2369,62;11
San Miguel;245000;5;3;609,8;401,77;60
San Miguel;165000;3;2;130;1269,23;13
Los Alamos;429000;3;3;204,1;2101,91;17
San Miguel;309900;4;3;224,8;1378,56;18
Arroyo Grande;265000;2;1;97,2;2726,34;9
San Miguel;169900;4;2;150;1132,67;15
San Miguel;380900;3;2;200;1904,5;18
San Miguel;315000;4;3;193,9;1624,55;17
Los Alamos;260000;3;2;141,3;1840,06;14
San Miguel;119900;3;2;131,2;913,87;10
San Miguel;211500;3;2;127,5;1658,82;12
San Miguel;149000;2;1;85,4;1744,73;7
San Miguel;890000;3;3;347,4;2561,89;28
Cambria;289900;3;2;138;2100,72;12
San Miguel;289000;4;3;210;1376,19;17
Los Alamos;399900;3;2;148,7;2689,31;13
San Miguel;125000;3;2;90;1388,89;7
Los Alamos;359900;5;3;303,6;1185,44;27
San Miguel;239000;3;3;180;1327,78;15
San Miguel;199900;3;3;160;1249,38;14
San Miguel;179900;4;3;215;836,74;17
San Miguel;195000;3;2;130;1500;11
San Miguel;299000;2;2;89,6;3337,05;7
San Miguel;265000;2;3;170;1558,82;17
Los Alamos;699000;3;2;170;4111,76;17
King City;275000;2;2;119,4;2303,18;10
San Miguel;169990;3;2;146,5;1160,34;12
San Miguel;189000;3;3;153;1235,29;13
San Miguel;695000;4;2;203,2;3420,28;18
San Miguel;105000;2;2;108,8;965,07;10
San Miguel;365000;4;4;400;912,5;33
San Miguel;335900;3;3;129,6;2591,82;11
Los Alamos;170000;3;2;94,4;1800,85;7
San Miguel;339900;4;2;210;1618,57;17
San Miguel;359900;3;3;234;1538,03;23
San Miguel;143000;3;2;108;1324,07;9
San Miguel;199000;3;2;119,6;1663,88;9
San Miguel;374800;3;3;136,5;2745,79;13
Los Alamos;499000;3;2;212;2353,77;21
Arroyo Grande;138900;2;1;105,5;1316,59;9
Arroyo Grande;1999000;4;5;530,7;3766,72;53
San Miguel;359000;3;2;177,4;2023,68;14
San Miguel;294900;4;2;185,6;1588,9;15
Arroyo Grande;299500;4;2;183,6;1631,26;16
San Miguel;427900;4;3;236,7;1807,77;19
Los Alamos;269000;3;2;118,1;2277,73;11
Cambria;449000;3;3;256,3;1751,85;21
San Miguel;144900;2;2;113;1282,3;9
San Miguel;345000;3;3;202;1707,92;18
San Miguel;239000;4;2;124;1927,42;10
Los Alamos;310000;2;1;78;3974,36;7
San Miguel;225000;3;3;180;1250;18
San Miguel;695000;5;6;375;1853,33;37
Los Alamos;242500;3;3;165;1469,7;15
Arroyo Grande;249250;2;1;72,8;3423,76;7
King City;479000;3;2;146,2;3276,33;14
Los Alamos;169900;3;2;115;1477,39;11
San Miguel;219900;3;3;166;1324,7;16
San Miguel;150000;2;2;144;1041,67;13
Los Alamos;649000;4;2;181,4;3577,73;18
San Miguel;285000;4;3;210;1357,14;19
San Miguel;163999;3;2;148,8;1102,14;14
Los Alamos;349000;4;2;171,8;2031,43;15
Cambria;409900;3;2;171,6;2388,69;14
Los Alamos;275000;3;2;132;2083,33;13
San Miguel;179900;3;2;120;1499,17;12
Los Alamos;789000;3;3;221,8;3557,26;22
San Miguel;299000;4;3;176,8;1691,18;14
Arroyo Grande;850000;5;4;358,8;2369,01;29
San Miguel;295900;3;2;177,6;1666,1;17
San Miguel;199000;4;3;146,7;1356,51;13
San Miguel;199900;3;3;195;1025,13;17
San Miguel;179900;3;2;128,8;1396,74;11
Arroyo Grande;290000;3;3;173,3;1673,4;14
San Miguel;168000;3;2;112,8;1489,36;11
San Miguel;270000;3;3;190;1421,05;19
Los Alamos;1249000;6;7;510,3;2447,58;42
San Miguel;240000;3;2;125,5;1912,35;10
King City;219500;5;2;180,2;1218,09;16
San Miguel;235000;4;3;233,6;1005,99;19
San Miguel;239800;2;2;119;2015,13;9
San Miguel;269000;3;3;180;1494,44;18
San Miguel;319200;4;3;200,6;1591,23;18
San Miguel;402500;3;2;244,6;1645,54;22
San Miguel;425000;3;2;211,4;2010,41;21
Arroyo Grande;669000;3;3;260;2573,08;21
Arroyo Grande;369000;3;2;151,4;2437,25;13
San Miguel;239900;3;2;108;2221,3;10
King City;249500;2;2;108,8;2293,2;9
Templeton;557000;4;2;180,9;3079,05;16
San Miguel;339900;6;3;205,3;1655,63;17
Los Alamos;149900;2;2;96,9;1546,96;8
Arroyo Grande;849900;3;4;337,5;2518,22;30
Los Alamos;307000;3;2;159,4;1925,97;15
San Miguel;259000;4;3;190;1363,16;17
San Miguel;165000;3;2;105;1571,43;8
San Miguel;289900;3;2;141,4;2050,21;14
Los Alamos;879000;3;4;369,8;2376,96;30
San Miguel;220000;3;2;120;1833,33;12
Arroyo Grande;309000;3;3;168,5;1833,83;14
San Miguel;580000;3;3;227,1;2553,94;18
San Miguel;459900;2;2;115;3999,13;9
San Miguel;299000;5;3;248,1;1205,16;20
San Miguel;309900;4;3;160;1936,88;13
San Miguel;287000;3;2;126,9;2261,62;11
King City;310000;3;2;120;2583,33;10
Arroyo Grande;229900;3;2;119,8;1919,03;11
Cambria;377000;3;2;136,3;2765,96;12
Los Alamos;295000;4;2;197,3;1495,18;17
San Miguel;225000;3;2;151,6;1484,17;15
San Miguel;130000;3;2;108;1203,7;9
San Miguel;169990;2;1;92;1847,72;9
San Miguel;145000;3;2;102,7;1411,88;9
King City;184800;4;2;201,8;915,76;20
San Miguel;189900;3;2;125,3;1515,56;10
San Miguel;249000;3;2;106,2;2344,63;9
San Miguel;185000;4;2;193,4;956,57;16
Arroyo Grande;145000;2;2;104,1;1392,89;10
San Miguel;429000;5;3;270;1588,89;22
Arroyo Grande;419000;2;2;158,7;2640,2;14
San Miguel;245000;3;3;185,9;1317,91;15
San Miguel;289900;4;3;240;1207,92;21
San Miguel;175000;3;2;111;1576,58;10
San Miguel;139000;3;2;107,5;1293,02;8
Arroyo Grande;514900;4;3;203,5;2530,22;20
San Miguel;549000;3;2;185,8;2954,79;16
Arroyo Grande;235000;3;3;126,1;1863,6;11
Arroyo Grande;399000;6;3;262,8;1518,26;21
Los Alamos;259900;3;2;112;2320,54;11
Los Alamos;350900;3;2;168,6;2081,26;16
Los Alamos;1399900;4;4;519;2697,3;47
San Miguel;399000;3;2;184;2168,48;15
Templeton;399000;3;2;120,4;3313,95;10
Arroyo Grande;199000;2;1;97,3;2045,22;8
San Miguel;350000;3;2;162,2;2157,83;16
Los Alamos;296800;4;2;212,5;1396,71;21
San Miguel;165000;3;2;120,4;1370,43;10
San Miguel;210000;3;3;175;1200;15
San Miguel;229000;3;2;145,8;1570,64;14
San Miguel;199500;3;2;118,4;1684,97;10
San Miguel;110000;3;2;100;1100;10
San Miguel;264900;3;3;119,7;2213,03;10
Arroyo Grande;449900;3;3;213,5;2107,26;17
San Miguel;159900;3;2;111,4;1435,37;10
San Miguel;429000;4;2;187;2294,12;15
King City;265000;1;1;56,6;4681,98;5
Los Alamos;279900;2;2;113,4;2468,25;10
San Miguel;174900;3;2;110;1590;9
Los Alamos;158900;4;2;114,4;1388,99;10
San Miguel;150000;3;2;134,9;1111,93;11
Cambria;269000;3;3;128,1;2099,92;11
Arroyo Grande;489900;3;3;195,7;2503,32;16
San Miguel;256000;4;2;117,4;2180,58;11
Arroyo Grande;335000;4;3;240;1395,83;20
Los Alamos;435000;3;2;123,6;3519,42;10
San Miguel;280000;3;3;191;1465,97;15
San Miguel;409000;4;2;206,4;1981,59;20
San Miguel;409000;4;2;206,4;1981,59;18
San Miguel;399000;4;3;188,8;2113,35;15
San Miguel;389000;4;2;186,2;2089,15;18
Los Alamos;222600;3;2;110,6;2012,66;9
San Miguel;140000;3;2;120;1166,67;10
San Miguel;220000;5;3;240,8;913,62;24
Los Alamos;650000;3;3;270,3;2404,74;22
Los Alamos;405000;3;2;172,8;2343,75;17
San Miguel;409000;3;2;196;2086,73;19
San Miguel;164900;3;2;109,2;1510,07;9
San Miguel;59900;1;1;62,8;953,82;5
San Miguel;199900;3;2;127,5;1567,84;10
Arroyo Grande;95000;2;1;75,6;1256,61;6
Los Alamos;170000;2;2;88,5;1920,9;8
San Miguel;720000;4;4;353,1;2039,08;35
San Miguel;204000;3;2;171,2;1191,59;15
San Miguel;220000;3;2;110;2000;9
Cambria;498900;4;3;150;3326;15
San Miguel;229900;3;2;167,1;1375,82;15
San Miguel;531905;3;2;166,8;3188,88;13
San Miguel;114900;2;1;77,5;1482,58;7
King City;145000;3;2;120;1208,33;10
Los Alamos;191330;4;2;123,7;1546,73;10
Los Alamos;199900;4;2;133,8;1494,02;11
San Miguel;266800;4;3;210;1270,48;19
San Miguel;84900;2;2;122,2;694,76;12
San Miguel;250000;3;2;180,7;1383,51;18
San Miguel;220000;4;2;135,2;1627,22;13
Los Alamos;227900;3;2;150,3;1516,3;13
Cambria;384900;4;2;157,1;2450,03;14
San Miguel;529000;4;3;250,2;2114,31;20
San Miguel;159900;3;2;152,6;1047,84;13
Arroyo Grande;199000;3;2;100,7;1976,17;9
Los Alamos;125000;3;3;130,6;957,12;11
Cambria;91500;3;2;131,3;696,88;10
San Miguel;155000;3;2;159,3;973,01;13
San Miguel;409000;3;3;220,3;1856,56;22
Arroyo Grande;949000;5;4;520;1825;43
Arroyo Grande;90000;2;1;75,6;1190,48;6
San Miguel;300000;3;3;232,8;1288,66;21
San Miguel;179900;3;2;100,8;1784,72;10
King City;349000;3;2;134,6;2592,87;12
Los Alamos;220000;3;2;111,2;1978,42;10
San Miguel;155000;3;2;134;1156,72;12
San Miguel;390000;4;2;223,6;1744,19;22
San Miguel;425000;5;4;303,9;1398,49;27
San Miguel;249900;3;2;173,3;1442,01;14
San Miguel;239000;4;3;194,7;1227,53;16
Cambria;395000;4;3;186,8;2114,56;15
Cambria;375000;3;3;147,5;2542,37;12
Cambria;395000;4;3;186,8;2114,56;18
Cambria;395000;4;3;186,8;2114,56;18
San Miguel;230000;4;3;192,7;1193,57;17
San Miguel;189000;3;2;129,2;1462,85;11
San Miguel;304900;3;2;165,7;1840,07;13
San Miguel;169900;3;2;130;1306,92;11
San Miguel;286500;3;2;170;1685,29;15
San Miguel;325000;4;2;240;1354,17;21
King City;375000;3;2;127,8;2934,27;11
San Miguel;278000;3;2;139,6;1991,4;12
San Miguel;149000;3;2;136,8;1089,18;12
San Miguel;209000;3;2;152;1375;12
San Miguel;95000;2;2;90;1055,56;7
San Miguel;199900;3;2;140,7;1420,75;11
San Miguel;185000;3;2;117;1581,2;11
Los Alamos;449900;4;3;303,5;1482,37;25
San Miguel;310000;5;4;290;1068,97;29
San Miguel;239900;4;2;165,6;1448,67;13
